Jornada,Local,Data,Adversário,Golo,Marcador,Minutos,Minutos Extra,Assitência,Bola Parada,Tipo Golo,Local Golo,Prespetiva Baliza
32,Casa,04/05/2019,Portimonense,Benfica,Rafa,61,0,corte,,pé direito,grande área,esquerda
32,Casa,04/05/2019,Portimonense,Benfica,Rafa,65,0,Grimaldo,,pé direito,grande área,centro
32,Casa,04/05/2019,Portimonense,Benfica,Seferovic,83,0,Pizzi,,pé esquerdo,grande área,esquerda
32,Casa,04/05/2019,Portimonense,Benfica,Seferovic,87,0,André Almeida,,pé esquerdo,pequena área,centro
32,Casa,04/05/2019,Portimonense,Benfica,Jonas,90,1,André Almeida,,cabeça,grande área,centro
33,Fora,12/05/2019,Rio Ave,Benfica,Rafa,2,0,resalto,,pé esquerdo,pequena área,centro
33,Fora,12/05/2019,Rio Ave,Benfica,J. Félix,45,1,resalto,,pé esquerdo,pequena área,centro
33,Fora,12/05/2019,Rio Ave,Rio Ave,Tarantini,49,0,Nuno Santos,,pé esquerdo,grande área,centro
33,Fora,12/05/2019,Rio Ave,Benfica,Pizzi,55,0,Grimaldo,,pé direito,grande área,centro
33,Fora,12/05/2019,Rio Ave,Rio Ave,Ronan,83,0,Galeno,,cabeça,grande área,centro
34,Casa,18/05/2019,Santa Clara,Benfica,Seferovic,15,0,Samaris,,pé esquerdo,grande área,centro
34,Casa,18/05/2019,Santa Clara,Benfica,J. Félix,22,0,resalto,,pé direito,grande área,esquerda
34,Casa,18/05/2019,Santa Clara,Benfica,Rafa,38,0,resalto,,pé direito,pequena área,direita
34,Casa,18/05/2019,Santa Clara,Benfica,Seferovic,55,0,Grimaldo,,pé esquerdo,grande área,centro
34,Casa,18/05/2019,Santa Clara,Santa Clara,César,58,0,resalto,,pé direito,grande área,centro
